input,input_type,pred1,pred1_source,pred1_api,pred1_pubmed,node1_type,node1_name,node1_id,pred2,pred2_source,pred2_api,pred2_pubmed,output_type,output_name,output_id
2019 NOVEL CORONAVIRUS,Disease,related_to,DISEASE,DISEASES API,,Gene,AGTR1,NCBIGene:185,related_to,,BioLink API,,Gene,ARTERIAL HYPOTENSION,UMLS:C0020649
2019 NOVEL CORONAVIRUS,Disease,related_to,DISEASE,DISEASES API,,Gene,ALB,NCBIGene:213,related_to,,BioLink API,,Gene,ARTERIAL HYPOTENSION,UMLS:C0020649
2019 NOVEL CORONAVIRUS,Disease,related_to,DISEASE,DISEASES API,,Gene,REN,NCBIGene:5972,related_to,,BioLink API,,Gene,ARTERIAL HYPOTENSION,UMLS:C0020649
2019 NOVEL CORONAVIRUS,Disease,related_to,DISEASE,DISEASES API,,Gene,ACE,NCBIGene:1636,related_to,,BioLink API,,Gene,ARTERIAL HYPOTENSION,UMLS:C0020649
